"code_commune","annee_etablissement","nb_dpe","nb_passoires","nb_logements_performants","nb_etiquette_a","nb_etiquette_b","nb_etiquette_c","nb_etiquette_d","nb_etiquette_e","nb_etiquette_f","nb_etiquette_g","conso_ep_moyenne","conso_ep_mediane","emission_ges_moyenne","surface_moyenne_m2","cout_annuel_moyen_eur","taux_passoires_pct","taux_performants_pct","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","latitude","longitude"
"01103",2024,68,3,11,5,6,35,15,4,2,1,151.7,143.1,17.4,100,1398,4.41,16.18,"Chevry","01",84,934040.3867857141,6580385.17309524,46.282797,6.040425
"01103",2025,72,1,7,5,2,48,11,5,1,0,146.7,145.9,13.4,95.4,1522,1.39,9.72,"Chevry","01",84,934040.3867857141,6580385.17309524,46.282797,6.040425
"01103",2026,50,0,3,0,3,29,13,5,0,0,161.1,149,9.2,86.3,1621,0,6,"Chevry","01",84,934040.3867857141,6580385.17309524,46.282797,6.040425
"01104",2024,29,2,0,0,0,9,15,3,0,2,208.7,172,28.6,74.9,1797,6.9,0,"Chézery-Forens","01",84,921140.1176190478,6573099.637142857,46.221584,5.869551
"01104",2025,12,2,1,0,1,2,5,2,1,1,273.5,228,16.4,151.2,3186,16.67,8.33,"Chézery-Forens","01",84,921140.1176190478,6573099.637142857,46.221584,5.869551
"01104",2026,2,1,0,0,0,0,0,1,0,1,421.5,421.5,20,114.6,4450,50,0,"Chézery-Forens","01",84,921140.1176190478,6573099.637142857,46.221584,5.869551
"01105",2024,62,5,18,10,8,26,8,5,2,3,158.5,146.8,20.8,96.1,1630,8.06,29.03,"Civrieux","01",84,845860.0707142856,6537598.4292857135,45.922432,4.882194
"01105",2025,49,0,8,0,8,31,10,0,0,0,119.7,106.6,14.6,92.7,1292,0,16.33,"Civrieux","01",84,845860.0707142856,6537598.4292857135,45.922432,4.882194
"01105",2026,21,0,1,0,1,8,11,1,0,0,166.5,167,21.6,138.5,2502,0,4.76,"Civrieux","01",84,845860.0707142856,6537598.4292857135,45.922432,4.882194
"01106",2024,4,1,0,0,0,1,0,2,0,1,261,265.5,50.3,98.7,3009,25,0,"Cize","01",84,,,,
"01106",2025,4,1,0,0,0,0,2,1,1,0,215.5,217.1,38.3,143.6,3510,25,0,"Cize","01",84,,,,
"01106",2026,3,0,0,0,0,3,0,0,0,0,156,167,6,129,1947,0,0,"Cize","01",84,,,,
"01107",2024,1,0,0,0,0,0,0,1,0,0,289.4,289.4,9,125.9,1561,0,0,"Cleyzieu","01",84,,,,
"01107",2025,2,1,0,0,0,0,1,0,0,1,323.1,323.1,10,64.7,1514,50,0,"Cleyzieu","01",84,,,,
"01107",2026,2,0,0,0,0,0,0,2,0,0,321.5,321.5,,191.3,6484,0,0,"Cleyzieu","01",84,,,,
"01108",2024,47,7,1,0,1,14,11,14,6,1,220.5,210.4,34.1,99.4,2196,14.89,2.13,"Coligny","01",84,880255.1428571428,6589430.251904764,46.380714,5.345661
"01108",2025,35,4,0,0,0,9,13,9,4,0,222.7,230.6,30.1,110.5,2820,11.43,0,"Coligny","01",84,880255.1428571428,6589430.251904764,46.380714,5.345661
"01108",2026,26,8,2,0,2,6,6,4,5,3,268.6,249,33.4,107.5,2627,30.77,7.69,"Coligny","01",84,880255.1428571428,6589430.251904764,46.380714,5.345661
