"code_commune","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","nb_points_geocodes_precis","latitude","longitude"
"01204","Le Poizat-Lalleyriat","01",84,908613.9766666667,6564443.23,6,46.147663,5.703297
"01206","Lantenay","01",84,,,0,,
"01207","Lapeyrouse","01",84,,,0,,
"01208","Lavours","01",84,,,0,,
"01209","Léaz","01",84,921274.8068421051,6558568.0915789455,19,46.090772,5.86446
"01210","Lélex","01",84,926182.3693333332,6582286.795999998,30,46.302587,5.939356
"01211","Lent","01",84,869446.3448275864,6560261.244482759,29,46.120959,5.194534
"01212","Lescheroux","01",84,865224.0499999999,6591714.7575,4,46.40513,5.150972
"01213","Leyment","01",84,877790.02,6538503.56,1,45.922977,5.29435
"01214","Leyssard","01",84,891015,6564854.02,2,46.156556,5.475566
"01215","Surjoux-Lhopital","01",84,,,0,,
"01216","Lhuis","01",84,897429.98,6518952.029999999,2,45.741587,5.539522
"01219","Lompnas","01",84,,,0,,
"01224","Loyettes","01",84,871503.6625925929,6522045.847407405,27,45.77645,5.207333
"01225","Lurcy","01",84,,,0,,
"01227","Magnieu","01",84,,,0,,
"01228","Maillat","01",84,896109.1266666666,6561941.576666667,6,46.128886,5.540327
"01229","Malafretaz","01",84,863931.0619791662,6583861.947604173,96,46.33476,5.131388
"01230","Mantenay-Montlin","01",84,862325.5166666666,6594128.606666666,3,46.427563,5.114096
"01231","Manziat","01",84,846604.9969230768,6586257.602307692,13,46.360314,4.906964
"01232","Marboz","01",84,873604.7070588234,6584829.929411764,17,46.341052,5.257456
"01233","Marchamp","01",84,,,0,,
"01234","Marignieu","01",84,,,0,,
"01235","Marlieux","01",84,860106.6827027029,6553741.165135139,37,46.06454,5.071417
"01236","Marsonnas","01",84,858877.4690000002,6584502.7700000005,10,46.341737,5.065931
"01237","Martignat","01",84,901198.0001694914,6571176.784915255,59,46.21051,5.610152
"01238","Massieux","01",84,841181.9505172413,6536070.820689652,58,45.909668,4.821394
"01239","Massignieu-de-Rives","01",84,915939.54,6521229.6,1,45.756473,5.778451
"01240","Matafelon-Granges","01",84,892490.08,6574034.79,1,46.238768,5.498434
"01241","Meillonnas","01",84,880849.443888889,6574651.432222221,18,46.247534,5.347674
"01242","Mérignat","01",84,888348.74,6555105.29,1,46.069559,5.437135
"01243","Messimy-sur-Saône","01",84,836558.665,6551312.97,2,46.047833,4.766167
"01244","Meximieux","01",84,870180.1705902766,6536561.200729138,288,45.907441,5.195501
"01245","Bohas-Meyriat-Rignat","01",84,883564.2190909091,6563603.184545455,11,46.14736,5.378575
"01246","Mézériat","01",84,857500.2626415091,6573214.190566038,53,46.240444,5.044232
"01247","Mijoux","01",84,929835.8995652177,6588543.99826087,23,46.357657,5.989869
"01248","Mionnay","01",84,849262.642682926,6534686.060325212,123,45.895476,4.925168
"01249","Miribel","01",84,851842.9306071433,6527027.10771429,280,45.825957,4.955988
"01250","Misérieux","01",84,840217.6259999999,6543346.444,5,45.975367,4.81111
"01252","Mogneneins","01",84,840844.83,6563323.44,1,46.15508,4.825172
"01254","Montagnat","01",84,875907.485909091,6566092.2772727255,22,46.171798,5.280349
"01255","Montagnieu","01",84,891343.355,6524763.125,2,45.795625,5.463613
"01257","Montanges","01",84,916138.23,6566589.32,1,46.164615,5.801705
"01258","Montceaux","01",84,839011.86,6556643.66,1,46.095324,4.799455
"01259","Montcet","01",84,862799.8675,6570435.440833334,12,46.214174,5.11202
"01260","Le Montellier","01",84,,,0,,
"01261","Monthieux","01",84,850275.02,6541520.52,1,45.956778,4.940386
"01262","Montluel","01",84,859397.6297567575,6529974.168918925,185,45.850759,5.05425
"01263","Montmerle-sur-Saône","01",84,836047.9985,6555236.461250002,40,46.083257,4.760696
"01264","Montracol","01",84,863516.3452941178,6568547.330588235,17,46.197005,5.120653
"01265","Montréal-la-Cluse","01",84,898763.9321768716,6567872.5960544245,147,46.181492,5.577199
"01266","Montrevel-en-Bresse","01",84,863417.8089583331,6583989.01239583,96,46.336028,5.124763
"01267","Nurieux-Volognat","01",84,894771.2017391308,6568075.034782609,23,46.184475,5.525548
"01268","Murs-et-Gélignieux","01",84,907518.9075,6508065.05,4,45.640611,5.664475
"01269","Nantua","01",84,900926.8351639351,6564893.125573772,122,46.154038,5.60395
"01272","Neuville-les-Dames","01",84,854585.3318749998,6564600.556250001,24,46.163577,5.003578
"01273","Neuville-sur-Ain","01",84,883162.7629999999,6556008.351000001,10,46.079109,5.370423
"01274","Les Neyrolles","01",84,903048.6146666665,6563389.938666668,15,46.139876,5.630778
"01275","Neyron","01",84,850099.7999999999,6526234.266923079,13,45.819207,4.933293
"01276","Niévroz","01",84,,,0,,
"01277","Nivollet-Montgriffon","01",84,,,0,,
"01279","Oncieu","01",84,,,0,,
"01280","Ordonnaz","01",84,,,0,,
"01281","Ornex","01",84,938803.2168348611,6579340.722935781,218,46.271732,6.101703
"01282","Outriaz","01",84,,,0,,
"01283","Oyonnax","01",84,904336.2468331577,6576620.459989385,941,46.25856,5.653207
"01284","Ozan","01",84,847101.12,6589735.73,4,46.391516,4.914512
"01285","Parcieux","01",84,,,0,,
"01286","Parves et Nattages","01",84,,,0,,
"01288","Péron","01",84,925548.4127906975,6569622.727790699,86,46.18884,5.925032
"01289","Péronnas","01",84,870393.2456617649,6567291.432058824,136,46.184003,5.209338
"01290","Pérouges","01",84,868907.6211999999,6535469.836800001,25,45.897935,5.178704
"01291","Perrex","01",84,851889.934,6573714.79,5,46.246234,4.971607
"01293","Peyriat","01",84,893759.6,6564544.62,1,46.152991,5.510985
"01294","Peyrieu","01",84,908280.81,6512074.25,2,45.676461,5.675994
"01295","Peyzieux-sur-Saône","01",84,840070.1,6560254.023333333,3,46.127608,4.814222
"01296","Pirajoux","01",84,874723.13,6589576.12,2,46.383484,5.273768
"01297","Pizay","01",84,861988.913,6533878.1280000005,10,45.88529,5.08896
"01298","Plagne","01",84,910109.53,6569328.03,1,46.191161,5.724845
"01299","Le Plantay","01",84,861634.3399999999,6549089.699,10,46.022306,5.08958
"01301","Polliat","01",84,864058.3398360651,6574326.751311473,61,46.248898,5.129699
"01302","Pollieu","01",84,,,0,,
"01303","Poncin","01",84,886060.3663917525,6556963.202577311,97,46.086914,5.408276
"01304","Pont-d'Ain","01",84,880868.8962790703,6552792.720232556,43,46.050781,5.339521
"01305","Pont-de-Vaux","01",84,848776.6190322579,6594317.984516131,31,46.432397,4.937773
"01306","Pont-de-Veyle","01",84,845384.9037499998,6575271.6049999995,8,46.26168,4.887684
"01307","Port","01",84,897988.8049999999,6565820.775,2,46.163253,5.566292
"01308","Pougny","01",84,928032.0449999998,6564526.455000001,18,46.142148,5.954739
"01309","Pouillat","01",84,,,0,,
"01310","Prémeyzel","01",84,,,0,,
"01311","Prémillieu","01",84,,,0,,
"01313","Prévessin-Moëns","01",84,937241.7677691098,6577412.58060842,641,46.254933,6.080467
"01314","Priay","01",84,876929.4149999999,6547185.185,4,46.001346,5.286493
"01317","Ramasse","01",84,882261.59,6568297.35,1,46.189963,5.363526
"01318","Rancé","01",84,,,0,,
"01319","Relevant","01",84,,,0,,
"01320","Replonges","01",84,844278.5817741939,6580093.420806451,62,46.305325,4.874811
"01321","Revonnas","01",84,879871.1180000001,6565185.023,10,46.162589,5.331354
"01322","Reyrieux","01",84,840551.7990243905,6538414.902682928,41,45.930901,4.813962
"01323","Reyssouze","01",84,848553.57,6593779.49,1,46.427599,4.934697
"01325","Rignieux-le-Franc","01",84,869453.6112000002,6540410.371200001,25,45.942271,5.187508
"01328","Romans","01",84,854799.1633333332,6560843.643333334,3,46.129709,5.005113
"01329","Rossillon","01",84,901156.0833333334,6529231.94,3,45.833018,5.591755
"01330","Ruffieu","01",84,906111,6547354.93,5,45.994639,5.663421
"01331","Saint-Alban","01",84,,,0,,
"01332","Saint-André-de-Bâgé","01",84,847858.78,6579467.47,1,46.298915,4.921118
"01333","Saint-André-de-Corcy","01",84,851554.8581785713,6538300.198714283,70,45.927504,4.955875
"01334","Saint-André-d'Huiriat","01",84,847094.1216666667,6569968.649999999,6,46.213572,4.908205
"01335","Saint-André-le-Bouchoux","01",84,860258.135,6558759.02,2,46.109674,5.075081
"01336","Saint-André-sur-Vieux-Jonc","01",84,865613.4994736842,6564186.092631579,19,46.157237,5.1463
